Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
MN850608	Escherichia phage megetsur	Escherichia phage megetsur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42132	FALSE	55.775	DNA	01-FEB-2021	54	100	0	94.0900028481914	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MN850592	Escherichia phage aldrigsur	Escherichia phage aldrigsur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42379	FALSE	55.726	DNA	01-FEB-2021	54	1.85185185185185	98.1481481481482	90.0375185823167	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MN850583	Escherichia phage glasur	Escherichia phage glasur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42507	FALSE	55.410	DNA	01-FEB-2021	55	98.1818181818182	1.81818181818182	94.5373703154775	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MN850570	Escherichia phage mellemsur	Escherichia phage mellemsur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40770	FALSE	55.816	DNA	01-FEB-2021	48	0	100	93.7306843267108	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MN850568	Escherichia phage altidsur	Escherichia phage altidsur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42197	FALSE	55.717	DNA	01-FEB-2021	54	96.2962962962963	3.7037037037037	90.7386781050786	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MK629528	Escherichia phage Lidtsur	Escherichia phage Lidtsur Bonnellvirus lidtsur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42291	FALSE	54.633	DNA	01-FEB-2021	53	100	0	93.5660069518337	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli MG1655 K12
MW345241	Acinetobacter phage vB_AbaP_APK26	Acinetobacter phage vB_AbaP_APK26 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41097	FALSE	39.261	DNA	18-JAN-2021	48	100	0	92.4520037958975	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain KZ-1098
MW358930	Providencia phage PSTRCR_114	Providencia phage PSTRCR_114 Kakivirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43106	FALSE	42.702	DNA	10-JAN-2021	54	3.7037037037037	96.2962962962963	91.6508142717951	NA	0	Providencia	Kakivirus	Kakivirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
MW331544	Vibrio phage vB_Vc_SrVc2	Vibrio phage vB_Vc_SrVc2 Maculvirus VP93 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43157	FALSE	49.169	DNA	13-JAN-2021	49	100	0	94.879162128971	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio campbellii CIBGEN-002
MW250641	Vibrio phage vB_VpP_DE17	Vibrio phage vB_VpP_DE17 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43394	FALSE	49.235	DNA	16-DEC-2020	49	0	100	94.9002166198092	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus O4-12
MT701589	Klebsiella phage Pone	Klebsiella phage Pone Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44346	FALSE	53.847	DNA	15-NOV-2020	54	100	0	94.2565282099851	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MW056503	Acinetobacter phage vB_AbaA_fBenAci003	Acinetobacter phage vB_AbaA_fBenAci003 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40556	FALSE	39.230	DNA	04-NOV-2020	46	100	0	91.6658447578657	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MW056502	Acinetobacter phage vB_AbaA_fBenAci002	Acinetobacter phage vB_AbaA_fBenAci002 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41953	FALSE	39.218	DNA	04-NOV-2020	51	100	0	92.3604986532548	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MW056501	Acinetobacter phage vB_AbaA_fBenAci001	Acinetobacter phage vB_AbaA_fBenAci001 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40535	FALSE	39.238	DNA	04-NOV-2020	47	100	0	92.0537806833601	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MT939252	Klebsiella phage vB_KpnP_Dlv622	Klebsiella phage vB_KpnP_Dlv622 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44687	FALSE	54.063	DNA	13-OCT-2020	59	100	0	92.9532078680601	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MN497414	Vibrio phage vB_VhaP_VH-5	Vibrio phage vB_VhaP_VH-5 Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42485	FALSE	44.479	DNA	17-SEP-2020	49	100	0	92.3267035424267	NA	0	Vibrio	Beijerinckvirinae	Unclassified	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio harveyi
MT741944	Acinetobacter phage vB_AbaP_APK81	Acinetobacter phage vB_AbaP_APK81 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42233	FALSE	39.325	DNA	08-SEP-2020	51	100	0	92.9131248076149	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain 36-1512
MT559527	Klebsiella phage vB_KpnP_cmc20192	Klebsiella phage vB_KpnP_cmc20192 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44314	FALSE	53.875	DNA	30-AUG-2020	56	100	0	94.2501241142754	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MT559526	Klebsiella phage vB_KpnP_cmc20191	Klebsiella phage vB_KpnP_cmc20191 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44066	FALSE	53.971	DNA	30-AUG-2020	52	100	0	93.228339309218	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MK257721	Acinetobacter phage vB_AbaP_APK93	Acinetobacter phage vB_AbaP_APK93 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41668	FALSE	39.376	DNA	11-AUG-2020	48	100	0	91.8258615724297	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii B11911
MT633129	Acinetobacter phage Ab124	Acinetobacter phage Ab124 Friunavirus fv15519 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40471	FALSE	39.505	DNA	03-AUG-2020	47	0	100	87.1735316646488	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii b1928040
MT682065	Klebsiella virus KpV2883	Klebsiella virus KpV2883 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43508	FALSE	54.116	DNA	03-AUG-2020	51	100	0	94.2516318837915	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae capsular type K1
LR794124	Vibrio phage vB_Vc_SrVc9	Vibrio phage vB_Vc_SrVc9 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43156	FALSE	49.170	DNA	10-JUL-2020	50	100	0	94.8674575956993	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
MT501516	Vibrio phage vB_VpaP_MGD1	Vibrio phage vB_VpaP_MGD1 Maculvirus VP93 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43290	FALSE	49.522	DNA	14-JUN-2020	48	100	0	93.7976437976438	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus SH06
MN807295	Acinetobacter phage vB_AbaP_APK116	Acinetobacter phage vB_AbaP_APK116 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41765	FALSE	39.081	DNA	14-JUN-2020	48	100	0	92.5248413743565	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii MAR303
MN116494	Klebsiella phage vB_KpnP_Bp5	Klebsiella phage vB_KpnP_Bp5 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43872	FALSE	53.909	DNA	01-JUN-2020	56	100	0	94.4953501094092	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MN433707	Acinetobacter phage vB_AbaP_PMK34	Acinetobacter phage vB_AbaP_PMK34 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41847	FALSE	39.343	DNA	29-MAY-2020	49	100	0	90.2143522833178	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii MK34
MT360680	Klebsiella virus 2019KP1	Klebsiella virus 2019KP1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	48372	FALSE	53.700	DNA	19-MAY-2020	56	96.4285714285714	3.57142857142857	85.3758372612255	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MK387869	Providencia phage vB PstP PS3	Providencia phage vB PstP PS3 Kakivirus PS3 Kakivirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41024	FALSE	42.992	DNA	20-MAY-2020	53	100	0	92.0241809672387	NA	0	Providencia	Kakivirus	Kakivirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
MN651570	Acinetobacter phage vB_AbaP_APK89	Acinetobacter phage vB_AbaP_APK89 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41198	FALSE	39.398	DNA	13-MAY-2020	50	100	0	92.7642118549444	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii LUH5552
MT197176	Klebsiella phage VLC6	Klebsiella phage VLC6 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44294	FALSE	54.159	DNA	12-MAY-2020	58	100	0	94.7667855691516	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 1210
MN604239	Acinetobacter phage vB_AbaP_APK87	Acinetobacter phage vB_AbaP_APK87 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42402	FALSE	39.055	DNA	28-APR-2020	53	100	0	92.5923305504457	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii LUH5547
MN604238	Acinetobacter phage vB_AbaP_APK44	Acinetobacter phage vB_AbaP_APK44 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41461	FALSE	39.070	DNA	28-APR-2020	48	100	0	91.1193651865609	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii NIPH70
MK598851	Escherichia phage Minorna	Escherichia phage Minorna Drulisvirus minorna Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43264	FALSE	51.456	DNA	23-APR-2020	54	0	100	93.5627773668639	NA	0	Escherichia	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
MK693005	Klebsiella phage KPR2	Klebsiella phage KPR2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44067	FALSE	53.743	DNA	20-APR-2020	55	0	100	92.8858329362108	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MT259468	Aeromonas phage PS	Aeromonas phage PS Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41082	FALSE	48.527	DNA	14-APR-2020	50	100	0	90.9157295165766	NA	0	Aeromonas	Autographiviridae	Unclassified	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Aeromonas salmonicida A567
MT178448	Vibrio phage vB_VpP_FE11	Vibrio phage vB_VpP_FE11 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43397	FALSE	49.238	DNA	14-APR-2020	49	100	0	94.8107012005438	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibro parahaemolyticus O5-15
MT197175	Klebsiella phage VLC5	Klebsiella phage VLC5 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44932	FALSE	54.175	DNA	14-APR-2020	57	100	0	94.2023502181074	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 1210
MT263719	Acinetobacter virus vB_AbaP_AGC01	Acinetobacter virus vB_AbaP_AGC01 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41231	FALSE	39.485	DNA	14-APR-2020	50	100	0	92.8718682544687	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MT090077	Klebsiella phage CX1	Klebsiella phage CX1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45013	FALSE	53.882	DNA	31-MAR-2020	60	100	0	93.4530024659543	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae A106
MN974282	Vibrio phage OWB	Vibrio phage OWB Maculvirus OWB Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43264	FALSE	48.740	DNA	07-MAR-2020	48	100	0	94.7970599112426	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
MN294712	Acinetobacter phage vB_AbaP_APK48	Acinetobacter phage vB_AbaP_APK48 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41105	FALSE	39.258	DNA	15-FEB-2020	47	100	0	92.0398978226493	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii NIPH615
MN844877	Sphaerotilus phage vB_SnaP-R1	Sphaerotilus phage vB_SnaP-R1 Krylovirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41507	FALSE	62.474	DNA	26-JAN-2020	50	100	0	93.9961934131592	NA	0	Sphaerotilus	Krylovirinae	Unclassified	Krylovirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
MN061582	Acinetobacter phage vB_AbaP_IME546	Acinetobacter phage vB_AbaP_IME546 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40770	FALSE	39.144	DNA	02-JAN-2020	47	0	100	89.4775570272259	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MN794003	Klebsiella phage VLC4	Klebsiella phage VLC4 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44656	FALSE	53.762	DNA	24-DEC-2019	59	100	0	93.4678430670011	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 1210
MN794002	Klebsiella phage VLC3	Klebsiella phage VLC3 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43351	FALSE	53.904	DNA	24-DEC-2019	56	100	0	94.1431570205993	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 1210
MN794001	Klebsiella phage VLC2	Klebsiella phage VLC2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43784	FALSE	53.832	DNA	24-DEC-2019	58	100	0	94.6304586150192	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 1210
MN794000	Klebsiella phage VLC1	Klebsiella phage VLC1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43411	FALSE	53.827	DNA	24-DEC-2019	56	100	0	94.1097878417912	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 1210
MN395291	Acinetobacter phage vB_AbaP_IME546	Acinetobacter phage vB_AbaP_IME546 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40540	FALSE	39.122	DNA	20-NOV-2019	47	100	0	93.3966452886038	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MN614471	Acinetobacter phage vB_AbaP_APK48-3	Acinetobacter phage vB_AbaP_APK48-3 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41196	FALSE	39.227	DNA	18-NOV-2019	51	96.078431372549	3.92156862745098	93.1328284299447	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii APEX-294
MK135468	Klebsiella phage 1 TK-2018	Klebsiella phage 1 TK-2018 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43584	FALSE	53.969	DNA	15-NOV-2019	56	0	100	94.3488436123348	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MN271656	Pectobacterium phage MA2	Pectobacterium phage MA2 Kotilavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41857	FALSE	51.774	DNA	13-NOV-2019	55	100	0	98.714671381131	NA	0	Pectobacterium	Kotilavirus	Kotilavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium carotovorum subsp. carotovorum SR22
KM819694	Proteus phage PM 75	Proteus phage PM 75 Novosibovirus PM75 Novosibovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41480	FALSE	41.560	DNA	06-NOV-2019	52	96.1538461538462	3.84615384615385	93.2545805207329	NA	0	Proteus	Novosibovirus	Novosibovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Proteus mirabilis 821
KF319020	Proteus phage PM16	Proteus phage PM16 Novosibovirus PM16 Novosibovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41268	FALSE	41.386	DNA	06-NOV-2019	49	95.9183673469388	4.08163265306122	91.5018900843268	NA	0	Proteus	Novosibovirus	Novosibovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Proteus mirabilis 73
MN380459	Klebsiella phage vB_KpnP_fHeKpn01	Klebsiella phage vB_KpnP_fHeKpn01 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43329	FALSE	53.599	DNA	25-OCT-2019	55	100	0	93.7755313992938	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MF033351	Acinetobacter phage vB_ApiP_P2	Acinetobacter phage vB_ApiP_P2 Friunavirus P2 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41514	FALSE	39.334	DNA	25-OCT-2019	50	100	0	92.014742014742	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter pittii
